"Month","Year","averagestormflow","day","date"
4,1996,11451.7816091954,"01",1996-04-01
4,1997,5752.5128998968,"01",1997-04-01
4,1998,17056.1111111111,"01",1998-04-01
4,1999,17354.4444444444,"01",1999-04-01
4,2000,27853.3333333333,"01",2000-04-01
4,2001,28415.4761904762,"01",2001-04-01
4,2002,25028.1282051282,"01",2002-04-01
4,2003,19804.5,"01",2003-04-01
4,2004,28450,"01",2004-04-01
4,2005,34289.7450980392,"01",2005-04-01
4,2006,21537.2222222222,"01",2006-04-01
4,2007,23692.7083333333,"01",2007-04-01
4,2008,9049.31419457735,"01",2008-04-01
4,2009,11350.350877193,"01",2009-04-01
4,2010,6587.71929824561,"01",2010-04-01
4,2011,28698.303030303,"01",2011-04-01
4,2012,5493.93386243386,"01",2012-04-01
4,2013,20957.4074074074,"01",2013-04-01
4,2014,27446.3919413919,"01",2014-04-01
4,2015,41601.7395833333,"01",2015-04-01
4,2016,9431.04329004329,"01",2016-04-01
4,2017,28722.8571428571,"01",2017-04-01
4,2018,55579.7058823529,"01",2018-04-01
4,2019,23987.0995670996,"01",2019-04-01
4,2020,23261.8333333333,"01",2020-04-01
4,2021,7212.03296703297,"01",2021-04-01
5,1968,39645.7809847199,"01",1968-05-01
5,1969,10042.5,"01",1969-05-01
5,1970,9634.53310696095,"01",1970-05-01
5,1971,20803.9426523297,"01",1971-05-01
5,1972,10757.6036866359,"01",1972-05-01
5,1973,17149.6774193548,"01",1973-05-01
5,1974,16132.9032258065,"01",1974-05-01
5,1975,15972.5806451613,"01",1975-05-01
5,1976,8399.74193548387,"01",1976-05-01
5,1977,5780.84677419355,"01",1977-05-01
5,1978,37933.0170777989,"01",1978-05-01
5,1979,14976.6568914956,"01",1979-05-01
5,1980,18537.7880184332,"01",1980-05-01
5,1981,20305.376344086,"01",1981-05-01
5,1982,5595.59599792996,"01",1982-05-01
5,1983,37867.2580645161,"01",1983-05-01
5,1984,14601.4689826303,"01",1984-05-01
5,1985,9040.13282732448,"01",1985-05-01
5,1986,6251.64849833148,"01",1986-05-01
5,1987,7780.23402909551,"01",1987-05-01
5,1988,19991.2655086849,"01",1988-05-01
5,1989,43108.5714285714,"01",1989-05-01
5,1990,23727.4193548387,"01",1990-05-01
5,1991,1465.55399719495,"01",1991-05-01
