"Month","Year","average_waterlevel","day","date"
4,1973,59.827,"01",1973-04-01
4,1974,62.0006666666667,"01",1974-04-01
4,1975,64.8346049382716,"01",1975-04-01
4,1976,61.767,"01",1976-04-01
4,1977,63.6663333333333,"01",1977-04-01
4,1978,62.17,"01",1978-04-01
4,1979,55.8783333333333,"01",1979-04-01
4,1980,55.2553333333333,"01",1980-04-01
4,1981,59.6492592592593,"01",1981-04-01
4,1982,62.4658266666667,"01",1982-04-01
4,1983,63.8057822222222,"01",1983-04-01
4,1984,65.1494088888889,"01",1984-04-01
4,1985,65.8796666666667,"01",1985-04-01
4,1986,67.1753333333333,"01",1986-04-01
4,1987,67.3813333333333,"01",1987-04-01
4,1988,68.6556666666667,"01",1988-04-01
4,1989,72.9138235294118,"01",1989-04-01
4,1990,69.091,"01",1990-04-01
4,1991,63.189,"01",1991-04-01
4,1992,66.7313333333333,"01",1992-04-01
4,1993,71.2996666666667,"01",1993-04-01
4,1994,64.774,"01",1994-04-01
4,1995,63.412,"01",1995-04-01
4,1996,66.3022083333333,"01",1996-04-01
4,1997,52.287,"01",1997-04-01
4,1998,53.5646666666667,"01",1998-04-01
4,1999,53.266,"01",1999-04-01
4,2000,67.7623333333333,"01",2000-04-01
4,2001,75.4023333333333,"01",2001-04-01
4,2002,78.842,"01",2002-04-01
4,2003,78.3726666666667,"01",2003-04-01
4,2004,61.546,"01",2004-04-01
4,2005,45.9673333333333,"01",2005-04-01
4,2006,52.5753333333333,"01",2006-04-01
4,2007,66.1343333333333,"01",2007-04-01
4,2008,70.6166666666667,"01",2008-04-01
4,2009,70.4863333333333,"01",2009-04-01
4,2010,72.7933333333333,"01",2010-04-01
4,2011,71.6343333333333,"01",2011-04-01
4,2012,65.528,"01",2012-04-01
4,2013,68.764,"01",2013-04-01
4,2014,73.5793333333333,"01",2014-04-01
4,2015,74.714,"01",2015-04-01
4,2016,73.0466666666667,"01",2016-04-01
4,2017,77.1373333333333,"01",2017-04-01
4,2018,73.9593333333333,"01",2018-04-01
4,2019,53.810462962963,"01",2019-04-01
4,2020,53.3476666666667,"01",2020-04-01
4,2021,60.848,"01",2021-04-01
5,1968,78.0303225806452,"01",1968-05-01
5,1969,76.4003225806452,"01",1969-05-01
5,1970,78.6742191500256,"01",1970-05-01
5,1971,70.4064516129032,"01",1971-05-01
5,1972,68.4551612903226,"01",1972-05-01
5,1973,59.8506451612903,"01",1973-05-01
5,1974,62.1770967741936,"01",1974-05-01
5,1975,64.2152210274791,"01",1975-05-01
5,1976,61.391935483871,"01",1976-05-01
5,1977,63.0461290322581,"01",1977-05-01
5,1978,60.2161290322581,"01",1978-05-01
5,1979,55.6541935483871,"01",1979-05-01
5,1980,54.3866129032258,"01",1980-05-01
5,1981,60.7610394265233,"01",1981-05-01
5,1982,62.5777955555556,"01",1982-05-01
5,1983,63.9177511111111,"01",1983-05-01
5,1984,65.2613777777778,"01",1984-05-01
5,1985,65.5696774193548,"01",1985-05-01
5,1986,67.1954838709677,"01",1986-05-01
5,1987,66.6912903225806,"01",1987-05-01
5,1988,69.0838709677419,"01",1988-05-01
5,1989,72.8323908918406,"01",1989-05-01
5,1990,69.2506451612903,"01",1990-05-01
5,1991,61.9712903225806,"01",1991-05-01
5,1992,67.1687096774194,"01",1992-05-01
5,1993,68.3909677419355,"01",1993-05-01
5,1994,62.8687096774194,"01",1994-05-01
5,1995,63.9635483870968,"01",1995-05-01
5,1996,65.5435483870968,"01",1996-05-01
5,1997,51.5945161290323,"01",1997-05-01
5,1998,51.4716129032258,"01",1998-05-01
5,1999,54.3116129032258,"01",1999-05-01
5,2000,68.5125806451613,"01",2000-05-01
5,2001,75.6409677419355,"01",2001-05-01
5,2002,78.9045161290323,"01",2002-05-01
5,2003,77.85,"01",2003-05-01
5,2004,60.0164516129032,"01",2004-05-01
5,2005,44.8135483870968,"01",2005-05-01
5,2006,53.7116129032258,"01",2006-05-01
5,2007,66.4025806451613,"01",2007-05-01
5,2008,70.0593548387097,"01",2008-05-01
5,2009,70.8825806451613,"01",2009-05-01
5,2010,72.1329032258065,"01",2010-05-01
5,2011,70.5067741935484,"01",2011-05-01
5,2012,65.4364516129032,"01",2012-05-01
5,2013,69.1403225806452,"01",2013-05-01
5,2014,73.7291434927697,"01",2014-05-01
5,2015,74.4945161290323,"01",2015-05-01
5,2016,73.3293548387097,"01",2016-05-01
5,2017,76.978064516129,"01",2017-05-01
5,2018,73.0048387096774,"01",2018-05-01
5,2019,52.0718100358423,"01",2019-05-01
5,2020,53.4590322580645,"01",2020-05-01
5,2021,61.7706451612903,"01",2021-05-01
6,1968,77.156,"01",1968-06-01
6,1969,76.741,"01",1969-06-01
6,1970,78.3780952380952,"01",1970-06-01
6,1971,68.9852604166667,"01",1971-06-01
6,1972,66.7236666666667,"01",1972-06-01
6,1973,59.358,"01",1973-06-01
6,1974,62.256,"01",1974-06-01
6,1975,63.5306666666667,"01",1975-06-01
6,1976,61.171,"01",1976-06-01
6,1977,62.5343333333333,"01",1977-06-01
6,1978,56.9933448275862,"01",1978-06-01
6,1979,55.3633333333333,"01",1979-06-01
6,1980,53.398,"01",1980-06-01
6,1981,61.36784,"01",1981-06-01
6,1982,62.6897644444444,"01",1982-06-01
6,1983,64.02972,"01",1983-06-01
6,1984,65.3733466666667,"01",1984-06-01
6,1985,65.0388333333333,"01",1985-06-01
6,1986,67.2326666666667,"01",1986-06-01
6,1987,66.096,"01",1987-06-01
6,1988,69.3106666666667,"01",1988-06-01
6,1989,72.3021666666667,"01",1989-06-01
6,1990,69.0926666666667,"01",1990-06-01
6,1991,61.0816666666667,"01",1991-06-01
6,1992,67.608,"01",1992-06-01
6,1993,65.766,"01",1993-06-01
6,1994,60.9223333333333,"01",1994-06-01
6,1995,64.5086666666667,"01",1995-06-01
6,1996,64.7993333333333,"01",1996-06-01
6,1997,51.192125,"01",1997-06-01
6,1998,48.679,"01",1998-06-01
6,1999,55.5053333333333,"01",1999-06-01
6,2000,69.2583333333333,"01",2000-06-01
6,2001,75.8963333333333,"01",2001-06-01
6,2002,78.692,"01",2002-06-01
6,2003,77.1523333333333,"01",2003-06-01
6,2004,58.7873333333333,"01",2004-06-01
6,2005,44.1033333333333,"01",2005-06-01
6,2006,54.907,"01",2006-06-01
6,2007,66.6903333333333,"01",2007-06-01
6,2008,69.2326666666667,"01",2008-06-01
6,2009,71.2476666666667,"01",2009-06-01
6,2010,71.534,"01",2010-06-01
6,2011,69.2403333333333,"01",2011-06-01
6,2012,65.2833333333333,"01",2012-06-01
6,2013,69.5396666666667,"01",2013-06-01
6,2014,73.6172413793103,"01",2014-06-01
6,2015,74.3983333333333,"01",2015-06-01
6,2016,73.5753333333333,"01",2016-06-01
6,2017,76.6463333333333,"01",2017-06-01
6,2018,71.9866666666667,"01",2018-06-01
6,2019,50.5543333333333,"01",2019-06-01
6,2020,53.4133333333333,"01",2020-06-01
6,2021,62.6096666666667,"01",2021-06-01
7,1968,76.2870967741935,"01",1968-07-01
7,1969,77.231935483871,"01",1969-07-01
7,1970,78.0921912307651,"01",1970-07-01
7,1971,68.1558492074527,"01",1971-07-01
7,1972,62.058064516129,"01",1972-07-01
7,1973,58.1441935483871,"01",1973-07-01
7,1974,62.2758064516129,"01",1974-07-01
7,1975,62.8293548387097,"01",1975-07-01
7,1976,60.8283870967742,"01",1976-07-01
7,1977,62.3367741935484,"01",1977-07-01
7,1978,54.0274082313682,"01",1978-07-01
7,1979,55.0970967741936,"01",1979-07-01
7,1980,52.6706451612903,"01",1980-07-01
7,1981,61.4617777777778,"01",1981-07-01
7,1982,62.8017333333333,"01",1982-07-01
7,1983,64.1416888888889,"01",1983-07-01
7,1984,65.3621448028674,"01",1984-07-01
7,1985,64.7158064516129,"01",1985-07-01
7,1986,67.3267741935484,"01",1986-07-01
7,1987,65.7277419354839,"01",1987-07-01
7,1988,69.628064516129,"01",1988-07-01
7,1989,71.1503225806452,"01",1989-07-01
7,1990,68.7961290322581,"01",1990-07-01
7,1991,60.7081269510926,"01",1991-07-01
7,1992,68.1635483870968,"01",1992-07-01
7,1993,64.4083870967742,"01",1993-07-01
7,1994,59.7012903225806,"01",1994-07-01
7,1995,65.0190322580645,"01",1995-07-01
7,1996,64.1122580645161,"01",1996-07-01
7,1997,51.0603629032258,"01",1997-07-01
7,1998,46.8522580645161,"01",1998-07-01
7,1999,56.7854838709677,"01",1999-07-01
7,2000,69.9816129032258,"01",2000-07-01
7,2001,76.1490322580645,"01",2001-07-01
7,2002,78.6106451612903,"01",2002-07-01
7,2003,76.2467741935484,"01",2003-07-01
7,2004,58.1177419354839,"01",2004-07-01
7,2005,43.971935483871,"01",2005-07-01
7,2006,56.17,"01",2006-07-01
7,2007,67.0296774193548,"01",2007-07-01
7,2008,68.45,"01",2008-07-01
7,2009,71.6025806451613,"01",2009-07-01
7,2010,71.1406451612903,"01",2010-07-01
7,2011,68.1903225806452,"01",2011-07-01
7,2012,65.2093548387097,"01",2012-07-01
7,2013,69.9051612903226,"01",2013-07-01
7,2014,73.4928809788654,"01",2014-07-01
7,2015,73.9577419354839,"01",2015-07-01
7,2016,73.8990322580645,"01",2016-07-01
7,2017,76.3387096774194,"01",2017-07-01
7,2018,71.0377419354839,"01",2018-07-01
7,2019,49.3122580645161,"01",2019-07-01
7,2020,53.4738709677419,"01",2020-07-01
7,2021,63.3974193548387,"01",2021-07-01
8,1968,75.4803225806452,"01",1968-08-01
8,1969,77.6451612903226,"01",1969-08-01
8,1970,76.6025297113752,"01",1970-08-01
8,1971,67.7549202817946,"01",1971-08-01
8,1972,57.2867741935484,"01",1972-08-01
8,1973,57.9051612903226,"01",1973-08-01
8,1974,62.2425806451613,"01",1974-08-01
8,1975,62.4248387096774,"01",1975-08-01
8,1976,60.7974193548387,"01",1976-08-01
8,1977,62.4822580645161,"01",1977-08-01
8,1978,52.3354838709677,"01",1978-08-01
8,1979,55.0748387096774,"01",1979-08-01
8,1980,52.4038709677419,"01",1980-08-01
8,1981,61.5755822222222,"01",1981-08-01
8,1982,62.9155377777778,"01",1982-08-01
8,1983,64.2554933333333,"01",1983-08-01
8,1984,64.8530967741935,"01",1984-08-01
8,1985,64.7258064516129,"01",1985-08-01
8,1986,67.4222580645161,"01",1986-08-01
8,1987,65.5503225806452,"01",1987-08-01
8,1988,69.9318548387097,"01",1988-08-01
8,1989,69.8306451612903,"01",1989-08-01
8,1990,68.3951612903226,"01",1990-08-01
8,1991,60.9002601456816,"01",1991-08-01
8,1992,68.7051612903226,"01",1992-08-01
8,1993,63.8616129032258,"01",1993-08-01
8,1994,59.171935483871,"01",1994-08-01
8,1995,65.4620967741936,"01",1995-08-01
8,1996,63.5448387096774,"01",1996-08-01
8,1997,51.2240322580645,"01",1997-08-01
8,1998,46.0593548387097,"01",1998-08-01
8,1999,58.1283870967742,"01",1999-08-01
8,2000,70.6964516129032,"01",2000-08-01
8,2001,76.3741935483871,"01",2001-08-01
8,2002,78.6774193548387,"01",2002-08-01
8,2003,75.231935483871,"01",2003-08-01
8,2004,57.6890322580645,"01",2004-08-01
8,2005,44.3925806451613,"01",2005-08-01
8,2006,57.5090322580645,"01",2006-08-01
8,2007,67.4216129032258,"01",2007-08-01
8,2008,67.9316129032258,"01",2008-08-01
8,2009,71.9725806451613,"01",2009-08-01
8,2010,70.9358064516129,"01",2010-08-01
8,2011,67.5122580645161,"01",2011-08-01
8,2012,65.2854838709677,"01",2012-08-01
8,2013,70.2429032258065,"01",2013-08-01
8,2014,73.4109677419355,"01",2014-08-01
8,2015,73.1990322580645,"01",2015-08-01
8,2016,74.2783870967742,"01",2016-08-01
8,2017,75.9890794649882,"01",2017-08-01
8,2018,69.5,"01",2018-08-01
8,2019,48.6070967741936,"01",2019-08-01
8,2020,53.7432258064516,"01",2020-08-01
8,2021,64.1777419354839,"01",2021-08-01
9,1968,74.9285,"01",1968-09-01
9,1969,78.175,"01",1969-09-01
9,1970,76.1826333333333,"01",1970-09-01
9,1971,67.6860069444444,"01",1971-09-01
9,1972,55.2193333333333,"01",1972-09-01
9,1973,57.7583333333333,"01",1973-09-01
9,1974,62.8226666666667,"01",1974-09-01
9,1975,62.2866666666667,"01",1975-09-01
9,1976,61.0366666666667,"01",1976-09-01
9,1977,62.9363333333333,"01",1977-09-01
9,1978,51.965,"01",1978-09-01
9,1979,55.149,"01",1979-09-01
9,1980,52.6756666666667,"01",1980-09-01
9,1981,61.6875511111111,"01",1981-09-01
9,1982,63.0275066666667,"01",1982-09-01
9,1983,64.3674622222222,"01",1983-09-01
9,1984,64.4736666666667,"01",1984-09-01
9,1985,64.9848333333333,"01",1985-09-01
9,1986,67.5153333333333,"01",1986-09-01
9,1987,65.624,"01",1987-09-01
9,1988,70.2940833333333,"01",1988-09-01
9,1989,68.8416666666667,"01",1989-09-01
9,1990,68.0715,"01",1990-09-01
9,1991,61.3823333333333,"01",1991-09-01
9,1992,69.3,"01",1992-09-01
9,1993,63.887,"01",1993-09-01
9,1994,59.1786666666667,"01",1994-09-01
9,1995,65.9893333333333,"01",1995-09-01
9,1996,62.955,"01",1996-09-01
9,1997,51.6836666666667,"01",1997-09-01
9,1998,46.1073333333333,"01",1998-09-01
9,1999,59.51,"01",1999-09-01
9,2000,71.3723333333333,"01",2000-09-01
9,2001,76.6686666666667,"01",2001-09-01
9,2002,78.7953333333333,"01",2002-09-01
9,2003,74.066,"01",2003-09-01
9,2004,56.7463333333333,"01",2004-09-01
9,2005,45.1446666666667,"01",2005-09-01
9,2006,58.8616666666667,"01",2006-09-01
9,2007,67.822,"01",2007-09-01
9,2008,67.806,"01",2008-09-01
9,2009,72.3863333333333,"01",2009-09-01
9,2010,70.942,"01",2010-09-01
9,2011,67.1416666666667,"01",2011-09-01
9,2012,65.5126666666667,"01",2012-09-01
9,2013,70.6073333333333,"01",2013-09-01
9,2014,73.3786666666667,"01",2014-09-01
9,2015,72.6463333333333,"01",2015-09-01
9,2016,74.688,"01",2016-09-01
9,2017,75.7243902439024,"01",2017-09-01
9,2018,67.5046666666667,"01",2018-09-01
9,2019,48.501,"01",2019-09-01
9,2020,54.2393333333333,"01",2020-09-01
9,2021,64.644219858156,"01",2021-09-01
10,1968,74.6835483870968,"01",1968-10-01
10,1969,78.7074193548387,"01",1969-10-01
10,1970,75.8276359447005,"01",1970-10-01
10,1971,67.9207459677419,"01",1971-10-01
10,1972,55.1509677419355,"01",1972-10-01
10,1973,58.16,"01",1973-10-01
10,1974,63.3322580645161,"01",1974-10-01
10,1975,62.0967741935484,"01",1975-10-01
10,1976,61.4154838709677,"01",1976-10-01
10,1977,63.5161290322581,"01",1977-10-01
10,1978,52.311935483871,"01",1978-10-01
10,1979,55.1751612903226,"01",1979-10-01
10,1980,53.3203225806452,"01",1980-10-01
10,1981,61.79952,"01",1981-10-01
10,1982,63.1394755555556,"01",1982-10-01
10,1983,64.4794311111111,"01",1983-10-01
10,1984,64.3858064516129,"01",1984-10-01
10,1985,65.3135483870968,"01",1985-10-01
10,1986,67.7174193548387,"01",1986-10-01
10,1987,65.9170967741936,"01",1987-10-01
10,1988,70.661935483871,"01",1988-10-01
10,1989,68.2193548387097,"01",1989-10-01
10,1990,67.8116129032258,"01",1990-10-01
10,1991,62.1035483870968,"01",1991-10-01
10,1992,69.9577419354839,"01",1992-10-01
10,1993,64.351935483871,"01",1993-10-01
10,1994,59.5987096774194,"01",1994-10-01
10,1995,66.5061290322581,"01",1995-10-01
10,1996,62.0229032258065,"01",1996-10-01
10,1997,52.3470967741935,"01",1997-10-01
10,1998,46.7777419354839,"01",1998-10-01
10,1999,60.9009677419355,"01",1999-10-01
10,2000,72.0632258064516,"01",2000-10-01
10,2001,76.9777419354839,"01",2001-10-01
10,2002,78.9093548387097,"01",2002-10-01
10,2003,72.5087096774194,"01",2003-10-01
10,2004,54.3722580645161,"01",2004-10-01
10,2005,46.0645161290323,"01",2005-10-01
